考區,申請系所,FCU,FCU_AM
國立竹北高中,"逢甲大學應用數學系
東海大學工業工程與經營資訊學系
元智大學工業工程與管理學系",0,0
靜宜大學,"逢甲大學應用數學系
靜宜大學企業管理學系-類繁星
靜宜大學會計學系
靜宜大學會計學系-類繁星
大葉大學環境工程學系
亞洲大學財務金融學系投資理財組
朝陽科技大學環境工程與管理系
中臺科技大學兒童教育暨事業經營系
育達科技大學休閒運動管理系
中州科技大學資訊管理系
中州科技大學餐旅事業管理系",0,0
國立員林崇實高工,"逢甲大學應用數學系
東海大學財務金融學系
逢甲大學財務金融學系
長庚大學工商管理學系",0,0
私立道明高中,"逢甲大學應用數學系
淡江大學數學學系資料科學與數理統計組
逢甲大學企業管理學系
國立東華大學應用數學系統計科學組
國立屏東大學應用數學系",1,0
國立中壢高商,"逢甲大學應用數學系
國立臺東大學數學系",1,1
高雄市立中山高中,"逢甲大學應用數學系
淡江大學水資源及環境工程學系環境工程組
中國文化大學電機工程學系
元智大學工程學院英語學士學位學程",0,0
國立臺南二中,"逢甲大學應用數學系
逢甲大學統計學系
逢甲大學土木工程學系",1,1
國立新竹女中,"逢甲大學應用數學系
逢甲大學統計學系
靜宜大學統計資訊學系
靜宜大學會計學系
朝陽科技大學應用化學系生化科技組
中國科技大學行銷與流通管理系(新竹校區)
遠東科技大學餐飲管理系
元培醫事科技大學護理系",0,0
靜宜大學,"逢甲大學應用數學系
逢甲大學材料科學與工程學系
逢甲大學光電科學與工程學系
輔仁大學數學系資訊數學組
國立臺南大學應用數學系
元智大學電機工程學系(丙組)",0,0
國立嘉義女中,"逢甲大學應用數學系
中國文化大學土地資源學系
靜宜大學財務金融學系
中華醫事科技大學護理系",1,1
靜宜大學,"逢甲大學應用數學系
東海大學統計學系(自然組)
淡江大學數學學系資料科學與數理統計組",1,1
國立臺南二中,"逢甲大學應用數學系
東海大學應用數學系
東海大學統計學系(決策管理組)
大同大學電機工程學系
南臺科技大學工業管理與資訊系工業管理組",1,1
桃園市立平鎮高中,"逢甲大學應用數學系
淡江大學數學學系數學組
中國文化大學資訊工程學系",1,1
國立苗栗高中,"逢甲大學應用數學系
中原大學應用數學系
靜宜大學資訊工程學系
中華大學資訊工程學系軟體工程及設計組
國立勤益科技大學資訊工程系",0,0
國立員林高中,"逢甲大學應用數學系
淡江大學統計學系
逢甲大學資訊工程學系",1,1
國立虎尾高中,"逢甲大學應用數學系
逢甲大學化學工程學系
國立虎尾科技大學自動化工程系",1,1
國立嘉義女中,"逢甲大學應用數學系
東海大學統計學系(自然組)
東海大學統計學系(社會組)",0,0
國立嘉義高中,"逢甲大學應用數學系
東海大學應用數學系
東海大學社會工作學系
亞洲大學社會工作學系家庭與社工心理雙專業組
嘉南藥理大學保健營養系
長庚科技大學護理系(林口校區)",0,0
國立員林家商,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學數學學系數學組",0,0
私立復旦高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
逢甲大學資訊工程學系",1,0
臺中市立臺中二中,逢甲大學應用數學系,1,1
國立臺東高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系資料科學與數理統計組
靜宜大學財務與計算數學系計算數學組",1,1
國立虎尾高中,"逢甲大學應用數學系
東海大學統計學系(決策管理組)
靜宜大學會計學系-一般組
國立臺南大學應用數學系
國立屏東大學應用數學系",0,0
國立員林高中,"逢甲大學應用數學系
東吳大學財務工程與精算數學系
輔仁大學統計資訊學系
元智大學資訊工程學系
國立暨南國際大學財務金融學系
國立高雄應用科技大學模具工程系
國立虎尾科技大學生物科技系",0,0
私立弘文高中,"逢甲大學應用數學系
東海大學應用數學系
東海大學財務金融學系
逢甲大學財務金融學系
逢甲大學財務工程與精算學士學位學程
朝陽科技大學財務金融系
明新科技大學財務金融系智慧理財組
德明財經科技大學財務金融系不動產金融與投資管理組",1,0
國立嘉義女中,"逢甲大學應用數學系
靜宜大學資訊管理學系
義守大學生物醫學工程學系
長榮大學大眾傳播學系
輔英科技大學護理系
中臺科技大學護理系
中華醫事科技大學食品營養系營養組",1,1
國立新竹高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學物理學系光電與材料科學組
中原大學電子工程學系
逢甲大學電子工程學系",0,0
國立陽明高中,"逢甲大學應用數學系
銘傳大學國際企業學系(台北校區)",0,0
私立弘文高中,"逢甲大學應用數學系
中原大學應用數學系
靜宜大學資訊管理學系
靜宜大學資訊工程學系
大同大學電機工程學系電子與通訊組",0,0
私立復旦高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學數學學系資料科學與數理統計組
國立東華大學應用數學系統計科學組",0,0
國立新營高中,"逢甲大學應用數學系
逢甲大學風險管理與保險學系
大同大學電機工程學系電子與通訊組
義守大學企業管理學系企業經營組",1,1
國立臺中文華高中,"逢甲大學應用數學系
東海大學經濟學系一般經濟組
逢甲大學統計學系",0,0
桃園市立陽明高中,逢甲大學應用數學系,1,1
臺中市立惠文高中,"逢甲大學應用數學系
逢甲大學統計學系
靜宜大學企業管理學系
靜宜大學會計學系
靜宜大學資訊管理學系",1,0
國立陽明高中,"逢甲大學應用數學系
中原大學應用數學系",0,0
臺中市立臺中二中,"逢甲大學應用數學系
亞洲大學光電與通訊學系光電綠能組
亞洲大學會計與資訊學系財稅應用組",1,1
國立臺中女中,"逢甲大學應用數學系
逢甲大學企業管理學系
逢甲大學通訊工程學系",1,0
高雄市立中山高中,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
義守大學電機工程學系
義守大學電子工程學系",0,0
臺中市立清水高中,"逢甲大學應用數學系
中原大學應用數學系
大同大學化學工程學系
世新大學資訊管理學系資訊管理組",0,0
私立海星高中,"逢甲大學應用數學系
中原大學土木工程學系
淡江大學統計學系
逢甲大學財務金融學系
國立屏東大學應用數學系
國立勤益科技大學工業工程與管理系",0,0
私立明德高中,"逢甲大學應用數學系
國立高雄大學應用數學系",0,0
國立草屯商工,"逢甲大學應用數學系
東海大學應用物理學系材料及奈米科技組
逢甲大學光電學系",1,0
靜宜大學,"逢甲大學應用數學系
中原大學應用數學系
世新大學經濟學系
實踐大學金融管理學系(高雄校區)
朝陽科技大學營建工程系
弘光科技大學環境與安全衛生工程系環境工程組
明志科技大學環境與安全衛生工程系",1,1
臺中市立臺中一中,"逢甲大學應用數學系
逢甲大學機械與電腦輔助工程學系
逢甲大學工業工程與系統管理學系
逢甲大學資訊工程學系",1,0
國立高雄師範大學,"逢甲大學應用數學系
國立屏東大學應用數學系
義守大學財務與計算數學系",0,0
桃園市立平鎮高中,"逢甲大學應用數學系
中原大學應用數學系
靜宜大學資訊管理學系
朝陽科技大學資訊與通訊系
南臺科技大學多媒體與電腦娛樂科學系
明新科技大學資訊管理系
德明財經科技大學資訊管理系",1,1
新北市立永平高中,"逢甲大學應用數學系
靜宜大學財務與計算數學系財務工程組",1,1
高雄市立中山高中,"逢甲大學應用數學系
中原大學應用數學系
靜宜大學財務與計算數學系計算數學組-類繁星
義守大學財務與計算數學系
銘傳大學經濟與金融學系(桃園校區)",1,1
國立臺南一中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
東海大學統計學系(自然組)
逢甲大學資訊工程學系
逢甲大學電子工程學系",0,0
臺中市立臺中二中,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系",1,1
國立員林崇實高工,"逢甲大學應用數學系
逢甲大學統計學系
國立臺東大學應用數學系",1,1
國立彰化師範大學,"逢甲大學應用數學系
中原大學應用數學系
中國文化大學應用數學系
靜宜大學財務與計算數學系計算數學組
義守大學財務與計算數學系
國立勤益科技大學資訊工程系
朝陽科技大學資訊工程系
南臺科技大學電機工程系控制與晶片組
龍華科技大學電機工程系
臺北城市科技大學資訊工程系",1,1
國立台南一中,"逢甲大學應用數學系
東海大學應用數學系
東海大學工業工程與經營資訊學系
東海大學環境科學與工程學系
靜宜大學財務與計算數學系財務工程組
國立雲林科技大學工業工程與管理系
南台科技大學電機工程系控制與晶片組
嘉南藥理科技大學化妝品應用與管理系
台南應用科技大學室內設計系",0,0
新竹市立建功高中,"逢甲大學應用數學系
逢甲大學財務工程與精算學士學位學程
長榮大學醫藥科學產業學系藥物科技組
明志科技大學化學工程系
長庚科技大學護理系(嘉義校區)",1,1
私立弘文高中,"逢甲大學應用數學系
東海大學統計學系(巨量資料管理組)
東海大學統計學系(決策管理組)
逢甲大學統計學系商業大數據組
逢甲大學統計學系大數據分析與市場決策組
逢甲大學財務工程與精算學士學位學程",1,0
臺中市立惠文高中,"逢甲大學應用數學系
逢甲大學財務工程與精算學士學位學程
朝陽科技大學工業工程與管理系
建國科技大學電機工程系
建國科技大學電子工程系
南開科技大學電機與資訊技術系",1,1
臺中市立清水高中,逢甲大學應用數學系,1,1
高雄市立中山高中,"逢甲大學應用數學系
國立屏東大學應用物理系物理組
國立臺東大學應用數學系
國立臺東大學應用科學系應用物理組
義守大學電機工程學系
國立聯合大學化學工程學系
國立高雄海洋科技大學輪機工程系
輔英科技大學護理系
輔英科技大學生物科技系
正修科技大學電機工程系電機與控制組
高苑科技大學電子工程系航空電子組",0,0
國立臺南二中,"逢甲大學應用數學系
義守大學資訊管理學系",1,1
國立台灣師大附中,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系
逢甲大學土木工程學系",1,1
國立桃園高中,"逢甲大學應用數學系
淡江大學數學學系數學組",0,0
私立長榮高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學物理學系物理組",0,0
國立臺灣師大附中,"逢甲大學應用數學系
中原大學物理學系光電與材料科學組
中原大學化學工程學系綠能製程組
東海大學工業工程與經營資訊學系
逢甲大學工業工程與系統管理學系
逢甲大學通訊工程學系",0,0
國立中央大學附屬中壢高中,"逢甲大學應用數學系
東海大學應用數學系
中國文化大學動物科學系
義守大學財務與計算數學系",0,0
私立海星高中,"逢甲大學應用數學系
東海大學化學工程與材料工程學系
中國文化大學機械工程學系
中國文化大學資訊工程學系",0,0
國立臺中二中,"逢甲大學應用數學系
東吳大學數學系
逢甲大學電子工程學系
逢甲大學電機工程學系
逢甲大學自動控制工程學系",1,0
國立斗六高中,"逢甲大學應用數學系
東海大學應用數學系
輔仁大學數學系應用數學組
國立臺南大學應用數學系
國立嘉義大學應用數學系
弘光科技大學護理系
長庚科技大學護理系(嘉義校區)",1,1
臺中市立惠文高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學會計學系
逢甲大學經濟學系
靜宜大學財務金融學系
國立高雄應用科技大學化學工程與材料工程系
朝陽科技大學應用化學系",1,0
國立中興大學附中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用物理學系
東海大學應用數學系",0,0
高雄市立高雄高中,"逢甲大學應用數學系
義守大學企業管理學系
銘傳大學資訊管理學系(桃園校區)
亞洲大學視光學系
南臺科技大學多媒體與電腦娛樂科學系",0,0
私立弘文高中,"逢甲大學應用數學系
逢甲大學光電科學與工程學系",1,0
臺中市立臺中二中,"逢甲大學應用數學系
中原大學應用數學系
東海大學統計學系(決策管理組)
靜宜大學財務金融學系
亞洲大學社會工作學系醫務與長期照顧社會工作組
亞洲大學幼兒教育學系幼兒師資組
朝陽科技大學工業設計系",0,0
國立中興高中,"逢甲大學應用數學系
淡江大學保險學系",1,1
臺北市立建國高中,"逢甲大學應用數學系
中國文化大學應用數學系
銘傳大學風險管理與保險學系(台北校區)
長榮大學健康心理學系",0,0
私立弘文高中,"逢甲大學應用數學系
逢甲大學水利工程與資源保育學系
靜宜大學資料科學暨大數據分析與應用學系-一般組
靜宜大學資訊工程學系-一般組",1,1
高雄市立中山高中,"逢甲大學應用數學系
逢甲大學水利工程與資源保育學系",1,1
新北市立新莊國中,"逢甲大學應用數學系
東海大學統計學系(決策管理組)
淡江大學風險管理與保險學系
淡江大學統計學系
銘傳大學風險管理與保險學系風險管理組(臺北校區)",0,0
國立基隆女中,"逢甲大學應用數學系
中原大學應用數學系
中原大學物理學系物理組
銘傳大學資訊工程學系(桃園校區)",0,0
私立明德中學,"逢甲大學應用數學系
逢甲大學財稅學系
逢甲大學財務金融學系",1,0
臺北市立華江高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學統計學系(自然組)
淡江大學統計學系",0,0
高雄市立高雄高中,"逢甲大學應用數學系
東海大學哲學系
國立東華大學課程設計與潛能開發學系
義守大學企業管理學系",0,0
國立虎尾高中,逢甲大學應用數學系,1,1
國立嘉義高中,"逢甲大學應用數學系
逢甲大學統計學系
逢甲大學自動控制工程學系",1,1
國立武陵高中,"逢甲大學應用數學系
靜宜大學應用化學系
國立屏東大學應用數學系
國立臺東大學應用數學系
銘傳大學生物科技學系(桃園校區)",0,0
臺北市立大安高工,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學中國文學系
靜宜大學台灣文學系",1,0
新北市立三民高中,逢甲大學應用數學系,1,1
國立家齊高中,"逢甲大學應用數學系
銘傳大學應用英語學系(桃園校區)
南臺科技大學財務金融系",1,1
私立明德高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學航太與系統工程學系
逢甲大學材料科學與工程學系
逢甲大學土木工程學系
國立勤益科技大學冷凍空調與能源系",1,0
國立彰化師大附屬高工,"逢甲大學應用數學系
中原大學應用數學系
銘傳大學生物醫學工程學系(桃園校區)",1,1
國立嘉義高中,逢甲大學應用數學系,1,1
國立武陵高中,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系",1,1
私立復旦高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學統計學系
淡江大學數學學系資料科學與數理統計組
靜宜大學財務與計算數學系財務工程組",0,0
國立雲林科技大學,"逢甲大學應用數學系
實踐大學國際貿易學系(高雄校區)",1,1
國立屏東女中,"逢甲大學應用數學系
淡江大學統計學系
中國文化大學應用數學系",0,0
國立苗栗高中,"逢甲大學應用數學系
逢甲大學材料科學與工程學系
逢甲大學光電學系
逢甲大學通訊工程學系
靜宜大學財務與計算數學系財務工程組",1,0
國立臺南二中,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學光電學系
國立臺東大學應用數學系
銘傳大學經濟與金融學系(桃園校區)",1,1
國立虎尾高中,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組
靜宜大學財務與計算數學系財務工程組
靜宜大學統計資訊學系",0,0
私立明德女中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學精密系統設計學士學位學程
靜宜大學財務與計算數學系財務工程組
靜宜大學資訊管理學系",1,0
國立斗六高中,"逢甲大學應用數學系
中原大學應用數學系",1,1
臺中市立臺中二中,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
國立臺灣體育運動大學體育學系(運動專長組)
國立嘉義大學體育與健康休閒學系",1,1
國立新營高中,"逢甲大學應用數學系
逢甲大學光電學系
逢甲大學電子工程學系
逢甲大學通訊工程學系",1,0
新北市立三民高中,"逢甲大學應用數學系
東海大學統計學系(決策管理組)
世新大學經濟學系
致理科技大學商務科技管理系",0,0
私立明德高中,"逢甲大學應用數學系
東海大學統計學系(決策管理組)
靜宜大學資訊管理學系-一般組
嶺東科技大學國際企業系
嶺東科技大學財務金融系
僑光科技大學行銷與流通管理系",1,1
國立武陵高中,"逢甲大學應用數學系
淡江大學統計學系
淡江大學管理科學學系
銘傳大學財務金融學系國際金融管理組(台北校區)
銘傳大學國際企業學系外貿行銷管理組(台北校區)",0,0
國立嘉義女中,"逢甲大學應用數學系
長榮大學航運管理學系
南臺科技大學化學工程與材料工程系
龍華科技大學化工與材料工程系
大仁科技大學護理系",1,1
臺中市立臺中一中,"逢甲大學應用數學系
東海大學應用物理學系
東海大學工業工程與經營資訊學系(智慧設計與生產)
靜宜大學資訊工程學系",1,1
國立清水高中,"逢甲大學應用數學系
東海大學應用數學系
中國文化大學應用數學系
靜宜大學財務與計算數學系財務工程組
朝陽科技大學營建工程系",1,1
國立新營高中,"逢甲大學應用數學系
淡江大學水資源及環境工程學系環境工程組",1,1
國立臺中文華高中,逢甲大學應用數學系,1,1
國立中興大學附中,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
逢甲大學光電科學與工程學系
亞洲大學資訊工程學系人工智慧組
國立勤益科技大學冷凍空調與能源系",1,1
國立清水高中,"逢甲大學應用數學系
靜宜大學企業管理學系
靜宜大學資訊管理學系
靜宜大學資訊傳播工程學系
弘光科技大學資訊管理系
弘光科技大學文化創意產業系
僑光科技大學行銷與流通管理系
僑光科技大學觀光與休閒事業管理系",0,0
國立嘉義女中,"逢甲大學應用數學系
中原大學環境工程學系
逢甲大學財務工程與精算學士學位學程
元智大學光電工程學系",1,1
私立弘文高中,"逢甲大學應用數學系
東海大學哲學系
東海大學統計學系(自然組)
靜宜大學財務與計算數學系計算數學組
靜宜大學資訊傳播工程學系(遊戲設計組)
亞洲大學資訊工程學系數位內容組",1,1
私立長榮高中,"逢甲大學應用數學系
東海大學統計學系(大數據與決策管理組)
逢甲大學統計學系
義守大學國際財務金融學系(國際學院)",0,0
國立彰化師範大學,逢甲大學應用數學系,1,1
國立虎尾高中,"逢甲大學應用數學系
東海大學應用物理學系
靜宜大學應用化學系",0,0
國立台中二中,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組
靜宜大學資訊管理學系",1,1
私立道明高中,"逢甲大學應用數學系
逢甲大學通訊工程學系
義守大學資訊工程學系
義守大學通訊工程學系",1,1
新北市立新店高中,"逢甲大學應用數學系
逢甲大學機械與電腦輔助工程學系",1,1
國立家齊高中,"逢甲大學應用數學系
東海大學資訊工程學系數位創意組
東海大學資訊工程學系軟體工程組
東海大學資訊管理學系(物聯網與大數據應用組)
逢甲大學資訊工程學系
國立勤益科技大學資訊工程系",1,0
國立彰化師大附屬高工,"逢甲大學應用數學系
東海大學統計學系(社會組)
逢甲大學統計學系",1,0
國立中興高中,"逢甲大學應用數學系
逢甲大學統計學系",1,1
國立豐原高中,"逢甲大學應用數學系
東海大學應用數學系
輔仁大學數學系純數學組
國立台東大學數學系",1,1
國立雲林科技大學,"逢甲大學應用數學系
東海大學應用物理學系材料及奈米科技組
東海大學工業工程與經營資訊學系
亞洲大學心理學系諮商與臨床心理組
南臺科技大學化學工程與材料工程系
南臺科技大學管理與資訊系工業管理組",0,0
國立北科大附屬桃園農工,"逢甲大學應用數學系
東吳大學財務工程與精算數學系
中原大學應用數學系
東海大學應用數學系
嘉南藥理大學食品科技系",0,0
國立臺中二中,逢甲大學應用數學系,1,1
國立中興大學附屬高中,"逢甲大學應用數學系
東海大學化學系化學生物組
逢甲大學纖維與複合材料學系
逢甲大學工業工程與系統管理學系
逢甲大學統計學系
逢甲大學通訊工程學系
中臺科技大學護理系
朝陽科技大學營建工程系",1,0
高雄市立中山高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學化學工程學系",1,1
私立長榮高中,"逢甲大學應用數學系
東海大學應用數學系
東海大學企業管理學系(綠色與永續發展組)
淡江大學數學學系數學組
靜宜大學企業管理學系
輔仁大學數學系應用數學組",0,0
國立嘉義女中,"逢甲大學應用數學系
逢甲大學統計學系商業大數據組
中國科技大學財務金融系(台北校區)
中華醫事科技大學視光系
德明財經科技大學保險金融管理系風險管理與保險組",1,0
新竹市立建功高中,"逢甲大學應用數學系
淡江大學數學學系數學組",1,1
國立嘉義高中,"逢甲大學應用數學系
中原大學生物科技學系
逢甲大學光電學系
逢甲大學通訊工程學系
朝陽科技大學工業工程與管理系",1,0
國立員林崇實高工,"逢甲大學應用數學系
中原大學應用數學系",1,1
私立明德高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學機械與電腦輔助工程學系
逢甲大學自動控制工程學系
逢甲大學通訊工程學系",1,0
國立屏東大學民生校區,"逢甲大學應用數學系
東吳大學數學系
中國文化大學電機工程學系
中國文化大學機械工程學系
實踐大學資訊模擬與設計學系(高雄校區)",0,0
國立陽明高中,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系",1,1
國立雲林科技大學,"逢甲大學應用數學系
逢甲大學光電學系",1,0
高雄市立高雄高中,"逢甲大學應用數學系
逢甲大學統計學系
逢甲大學光電學系
義守大學電子工程學系
義守大學資訊工程學系",1,1
國立員林崇實高工,"逢甲大學應用數學系
東海大學環境科學與工程學系
逢甲大學環境工程與科學學系",1,1
國立雲林科技大學,"逢甲大學應用數學系
逢甲大學通訊工程學系
逢甲大學水利工程與資源保育學系
中國文化大學光電物理學系
靜宜大學資訊管理學系",1,0
國立嘉義女中,"逢甲大學應用數學系
東海大學應用數學系
國立屏東教育大學應用數學系
國立台東大學數學系",0,0
國立鳳新高中,"逢甲大學應用數學系
靜宜大學財務與計算數學系財務工程組
實踐大學金融管理學系(高雄校區)",1,1
新竹市立建功高中,"逢甲大學應用數學系
中國文化大學應用數學系
中國文化大學資訊工程學系
靜宜大學資訊管理學系
銘傳大學應用統計與資料科學學系大數據管理組(桃園校區)
明新科技大學資訊工程系",0,0
國立中興高中,"逢甲大學應用數學系
東海大學應用數學系
東海大學統計學系(巨量資料管理組)
大同大學電機工程學系
國立臺東大學資訊工程學系",0,0
新北市立板橋高中,逢甲大學應用數學系,1,1
國立屏東女中,"逢甲大學應用數學系
東海大學應用數學系
國立屏東教育大學資訊科學系
國立屏東教育大學應用數學系",0,0
國立高雄師大附中,"逢甲大學應用數學系
靜宜大學資訊工程學系-一般組",1,1
國立陽明高中,"逢甲大學應用數學系
東海大學統計學系(大數據與決策管理組)
中國文化大學機械工程學系",0,0
國立台灣師範大學,"逢甲大學應用數學系
淡江大學土木工程學系營建企業組
淡江大學水資源及環境工程學系水資源工程組
逢甲大學都市計劃與空間資訊學系都市計劃組
輔仁大學數學系應用數學組
義守大學土木與生態工程學系
國立雲林科技大學環境與安全衛生工程系
國立虎尾科技大學光電工程系
嘉南藥理科技大學保健營養系
大仁科技大學食品科技系保健營養組",0,0
臺中市立清水高中,"逢甲大學應用數學系
逢甲大學航太與系統工程學系
國立臺中教育大學數學教育學系
國立臺北教育大學數學暨資訊教育學系數學組",0,0
私立明德高中,"逢甲大學應用數學系
中原大學應用數學系
靜宜大學財務與計算數學系計算數學組
國立臺東大學應用數學系
國立勤益科技大學資訊工程系
建國科技大學機械工程系
建國科技大學電子工程系
建國科技大學資訊管理系
修平科技大學機械工程系",0,0
臺中市立惠文高中,"逢甲大學應用數學系
東海大學統計學系(決策管理組)",1,1
國立員林高中,"逢甲大學應用數學系
逢甲大學土木工程學系",1,0
國立彰化師範大學,"逢甲大學應用數學系
中原大學應用數學系",1,1
臺北市立華江高中,"逢甲大學應用數學系
東吳大學數學系
國立東華大學應用數學系數學科學組",0,0
新竹市立建功高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學統計學系(自然組)",0,0
私立弘文高中,"逢甲大學應用數學系
靜宜大學財務金融學系
靜宜大學財務金融學系-類繁星
靜宜大學資訊工程學系",0,0
國立臺灣海洋大學,"逢甲大學應用數學系
東海大學應用數學系",1,1
高雄市立中正高中,"逢甲大學應用數學系
淡江大學數學學系資料科學與數理統計組
國立屏東教育大學社會發展學系
國立屏東教育大學應用數學系
國立台東大學數學系
國立嘉義大學木質材料與設計學系
國立屏東科技大學水土保持系
朝陽科技大學工業工程與管理系
弘光科技大學食品科技系
中台科技大學食品科技系",1,1
國立澎湖科技大學,"逢甲大學應用數學系
高雄醫學大學醫學影像暨放射科學系
東海大學社會工作學系
中山醫學大學職能治療學系
國立中正大學心理學系
國立臺北大學社會工作學系",1,1
高雄市立中山高中,"逢甲大學應用數學系
國立屏東大學應用數學系",1,1
高雄市立左營高中,"逢甲大學應用數學系
義守大學應用數學系資訊科學組",1,1
國立台中二中,"逢甲大學應用數學系
東海大學經濟學系一般經濟組",0,0
桃園市立武陵高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學機械工程學系
逢甲大學機械與電腦輔助工程學系
元智大學機械工程學系",0,0
逢甲大學,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系
逢甲大學航太與系統工程學系
逢甲大學統計學系
逢甲大學資訊電機學院不分系榮譽班",1,0
國立屏東女中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
靜宜大學法律學系",1,1
國立武陵高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學統計學系",0,0
臺中市立臺中一中,"逢甲大學應用數學系
逢甲大學光電科學與工程學系",1,0
高雄市立中山高中,"逢甲大學應用數學系
逢甲大學統計學系
逢甲大學水利工程與資源保育學系
靜宜大學化粧品科學系
國立屏東大學科普傳播學系
義守大學財務與計算數學系
嘉南藥理大學保健營養系
輔英科技大學健康美容系
大仁科技大學食品科技系食品技術與應用組
中臺科技大學醫療暨健康產業管理系
元培醫事科技大學醫學檢驗生物技術系",1,0
高雄市立高雄高中,"逢甲大學應用數學系
國立屏東大學應用數學系",1,1
國立竹北高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學水資源及環境工程學系環境工程組
逢甲大學統計學系商業大數據組
逢甲大學財務工程與精算學士學位學程",0,0
私立光隆家商,逢甲大學應用數學系,1,1
國立臺南二中,"逢甲大學應用數學系
東海大學環境科學與工程學系
長榮大學航運管理學系產學發展組",0,0
國立虎尾高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學資訊電機學院不分系榮譽班
嘉南藥理大學食品科技系
朝陽科技大學資訊管理系資訊管理組
國立勤益科技大學資訊工程系",1,0
國立文華高中,"逢甲大學應用數學系
逢甲大學電子工程學系
逢甲大學自動控制工程學系
逢甲大學通訊工程學系",1,0
國立鳳新高中,"逢甲大學應用數學系
國立臺東大學應用數學系
國立勤益科技大學化工與材料工程系",0,0
私立明德女中,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組
靜宜大學資訊傳播工程學系
亞洲大學會計與資訊學系管理應用組
朝陽科技大學資訊管理系
弘光科技大學健康事業管理系
嶺東科技大學企業管理系
僑光科技大學行銷與流通管理系",1,1
國立屏東女中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學統計學系",0,0
私立弘文高中,"逢甲大學應用數學系
靜宜大學財務與計算數學系財務工程組
銘傳大學應用統計資訊學系(桃園校區)
銘傳大學資訊工程學系(桃園校區)
亞洲大學資訊工程學系資電應用組
亞洲大學經營管理學系行銷管理組
朝陽科技大學資訊與通訊系
南臺科技大學電機工程系控制與晶片組
南臺科技大學管理與資訊系工業管理組
崑山科技大學機械工程系
僑光科技大學行銷與流通管理系",0,0
國立彰化師範大學,"逢甲大學應用數學系
靜宜大學財務金融學系-一般組
世新大學傳播管理學系
朝陽科技大學財務金融系",1,1
高雄市立中山高中,"逢甲大學應用數學系
東吳大學數學系
淡江大學數學學系數學組
國立東華大學應用數學系數學科學組
義守大學財務與計算數學系",0,0
臺北市立大同高中,"逢甲大學應用數學系
中國文化大學應用數學系",1,1
國立嘉義高中,"逢甲大學應用數學系
中國文化大學資訊工程學系
義守大學資訊工程學系
亞洲大學資訊工程學系大數據與物聯網組
國立澎湖科技大學電信工程系
朝陽科技大學資訊與通訊系
南臺科技大學電機工程系控制與晶片組
龍華科技大學資訊網路工程系
元培醫事科技大學食品科學系",1,1
國立中壢高商,"逢甲大學應用數學系
東海大學應用物理學系材料及奈米科技組
東海大學應用物理學系光電組
東海大學應用數學系",0,0
逢甲大學,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
逢甲大學水利工程與資源保育學系
靜宜大學統計資訊學系-類繁星
朝陽科技大學保險金融管理系",1,1
國立中興大學附中,"逢甲大學應用數學系
東海大學統計學系(大數據與資料科學組)",1,1
國立新竹高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
淡江大學統計學系
國立東華大學會計學系
實踐大學會計學系(臺北校區)
元培醫事科技大學醫學檢驗生物技術系
明志科技大學材料工程系
南臺科技大學生物科技系
朝陽科技大學應用化學系生化科技組",0,0
